feature_id	name	feature_class	county	map_name	lat	lon	source_lat	source_lon
1518743	Diamond Butte	Summit	Yakima	Jennies Butte	46.441158	-121.256815		
1512149	Diamond Hill	Summit	San Juan	Shaw Island	48.617484	-122.884995		
1518758	Diamond Mountain	Summit	Jefferson	Mount Steel	47.740503	-123.299262		
1504472	Diamond Peak	Summit	Pend Oreille	Orwig Hump	48.632477	-117.078844		
1512150	Diamond Peak	Summit	Garfield	Diamond Peak	46.115584	-117.539893		
1518763	Dick Mesa	Summit	Chelan	Ardenvoir	47.691009	-120.270315		
1518781	Diobsud Buttes	Summit	Skagit	Marblemount	48.618735	-121.476632		
1518787	Dirty Shirt	Summit	Pend Oreille	Tacoma Peak	48.403830	-117.474558		
1528394	Dirtyface Mountain	Summit	Chelan	Lake Wenatchee	47.871331	-120.825124		
1518790	Dirtyface Peak	Summit	Chelan	Lake Wenatchee	47.871359	-120.825081		
1528908	Disappointment	Summit	Okanogan	Hurley Peak	48.961703	-119.816649		
1518794	Disappointment Peak	Summit	Snohomish	Glacier Peak East	48.105019	-121.112567		
1518800	Discovery Peak	Summit	Grays Harbor	Mount Hoquiam	47.516281	-123.561334		
2832508	Disney Mountain	Summit	San Juan	Waldron Island	48.686539	-123.029063		
1518812	Divide Peak	Summit	Pend Oreille	Boundary Dam	48.966767	-117.262452		
1518819	Dixon Mountain	Summit	Lewis	Tatoosh Lakes	46.667811	-121.706607		
1518822	Dobbs Mountain	Summit	Pierce	Elbe	46.829267	-122.177874		
1518823	Dock Butte	Summit	Skagit	Baker Pass	48.639297	-121.806646		
1512153	Dodge Hill	Summit	Garfield	Dodge	46.528515	-117.810832		
1518826	Dodger Point	Summit	Jefferson	Mount Queets	47.873991	-123.509806		
1518833	Doe Mountain	Summit	Okanogan	Doe Mountain	48.724918	-120.187577		
1512154	Dog Mountain	Summit	Skamania	Mount Defiance	45.717116	-121.700578		
1518839	Dog Mountain	Summit	King	Lake Philippa	47.607604	-121.500917		
1518840	Dogs Head (historical)	Summit	Skamania	Mount Saint Helens	46.199676	-122.176166		
1518843	Dollar Mountain	Summit	Ferry	La Fleur Lake	48.492944	-118.355824		
1518844	Dollar Watch Mountain	Summit	Okanogan	Ashnola Mountain	48.895297	-120.407203		
1518848	Dolomite Mountain	Summit	Pend Oreille	Boundary Dam	48.980426	-117.288417		
1518852	Dome Peak	Summit	Yakima	Foundation Ridge	46.575976	-121.109402		
1518853	Dome Peak	Summit	Skagit	Dome Peak	48.303512	-121.029139		
1518856	Domerie Peak	Summit	Kittitas	Kachess Lake	47.265840	-121.128624		
1518859	Domke Mountain	Summit	Chelan	Lucerne	48.176048	-120.563795		
1512157	Donovan Hill	Summit	Pierce	Fort Lewis	47.079240	-122.607494		
1518885	Dot Mountain	Summit	Okanogan	Mount Lago	48.852271	-120.539796		
1512159	Double Hill	Summit	San Juan	Eastsound	48.693767	-122.924077		
1518887	Double Peak	Summit	Pierce	Chinook Pass	46.828563	-121.580089		
1531440	Douglas Mountain	Summit	Okanogan	Loomis	48.770379	-119.726655		
1518906	Dow Mountain	Summit	Mason	Hoodsport	47.445482	-123.184590		
1530859	Downey Mountain	Summit	Snohomish	Downey Mountain	48.271621	-121.184345		
1528383	Dragontail Peak	Summit	Chelan	Enchantment Lakes	47.478869	-120.833106		
1512160	Drays Mound	Summit	Cowlitz	Kalama	46.043701	-122.861099		
1518922	Driveway Butte	Summit	Okanogan	Robinson Mountain	48.634093	-120.532456		
1518929	Drummer Mountain	Summit	Ferry	Curlew	48.909536	-118.521415		
1518975	Dry Mountain	Summit	Ferry	Bulldog Mountain	48.873937	-118.372233		
1518976	Dry Mountain	Summit	Mason	Mount Tebo	47.475493	-123.381873		
1518990	Duckbill Mountain	Summit	Okanogan	Oval Peak	48.319203	-120.429887		
1518995	Duffys Mountain	Summit	Okanogan	Tonasket	48.727333	-119.385094		
1518997	Dugout Mountain	Summit	Okanogan	Strawberry Mountain	48.497403	-118.960698		
1510350	Dukes Hill	Summit	Skagit	Sedro-Woolley North	48.523619	-122.220729		
1512161	Dumas Hill	Summit	Pierce	Fort Lewis	47.054259	-122.550943		
1519000	Dumbell Mountain	Summit	Chelan	Holden	48.180059	-120.858524		
1519003	Duncan Hill	Summit	Chelan	Saska Peak	48.054363	-120.653843		
1519017	Dunegan Mountain	Summit	Clark	Amboy	45.943995	-122.429250		
